Xa,Ya,Za,Xgr,Ygr,Zgr,Xma,Yma,Zma,Temp
Initialising
35.16,116.21,1002.44,-7.46,-7.41,-35.51,16.2,26.1,384.45,30.67
15.63,68.85,992.19,5.16,8.27,-46.72,15.15,24.75,385.5,30.71
Destination:,1.4,-0.8
Initialising
28.8,384.9,30.67
12.7,167.48,994.63,-0.46,1.85,-1.79,16.8,27.0,384.3,30.47
22.46,168.46,1006.84,19.95,15.9,386.25,30.43
21.48,-49.32,1027.34,-2.28,0.53,-2.59,19.35,19.2,385.65,30.47
28.32,-61.52,1027.34,-0.58,4.72,1.62,20.25,18.45,385.65,30.67
0.0,-83.01,1033.2,3.97,0.63,1.71,18.75,18.3,386.25,30.33
11.72,-58.59,1030.27,3.91,-6.17,-2.81,20.25,19.2,386.1,30.67
41.02,-41.5,1032.23,-2.19,-2.59,0.26,19.35,20.4,385.35,30.52
40.53,-83.01,1011.72,-4.23,0.26,1.64,18.0,20.1,384.3,30.67
54.69,-43.95,1020.02,13.12,-1.02,3.93,19.05,19.2,385.35,30.62
Start
52.73,-126.95,995.61,3.44,4.34,3.79,19.8,17.7,384.45,30.43
25.39,-127.93,1011.72,2.87,8.13,17.48,18.75,17.85,385.05,30.43
-7.81,-120.61,1034.67,-5.95,13.75,14.89,19.65,19.05,388.2,30.62
-7.81,-122.56,1019.53,-6.62,5.63,18.63,20.7,19.2,387.15,30.67
-20.02,-92.29,998.05,-4.94,6.11,21.73,19.95,19.35,385.8,30.67
33.2,-87.4,951.17,-1.3,-4.38,43.62,22.05,18.6,385.05,30.62
36.62,-47.85,1007.81,8.98,-0.34,36.34,20.4,18.3,385.8,30.62
-15.14,-97.66,1057.62,10.18,5.47,12.76,21.9,16.95,385.65,30.62
-7.32,-136.23,1015.62,-14.82,11.42,-5.14,21.0,17.7,386.85,30.67
-77.15,-270.51,982.42,9.58,46.63,-16.87,21.9,18.45,386.4,30.47
-111.33,111.33,1176.27,3.29,-18.56,-38.27,23.85,18.0,388.05,30.67
-42.48,-44.92,1048.83,-3.13,-2.65,-59.4,21.9,16.95,386.4,30.62
-28.32,0.49,983.4,6.88,-18.75,-33.76,23.1,19.2,386.1,30.47
2.44,-64.45,985.84,12.32,-1.34,-4.74,21.9,18.9,385.35,30.33
-30.76,20.02,1008.79,-3.53,14.74,6.73,19.35,20.7,385.35,30.52
-84.47,-100.59,1018.07,-5.22,6.59,8.13,21.45,20.7,386.4,30.62
-132.32,-116.21,1006.35,-7.57,-2.53,6.5,22.95,19.8,386.25,30.52
-138.18,-149.41,1048.34,12.56,-8.94,7.6,22.95,20.1,385.05,30.52
-93.26,-83.01,1090.82,8.73,5.32,5.38,22.35,18.45,385.65,30.43
-119.63,96.68,1075.68,-14.1,-0.19,1.31,22.65,19.2,386.1,30.47
-47.85,-61.52,991.21,-14.35,-1.66,-10.13,22.05,18.6,385.5,30.67
-52.25,-25.39,946.78,-3.99,0.92,-11.56,22.35,19.65,386.1,30.52
-48.83,-40.04,993.65,-4.23,8.37,-11.69,22.65,19.95,386.1,30.43
